NAMESPACE       LAST SEEN   TYPE      REASON                       OBJECT                                                                        MESSAGE
default         40s         Normal    Valid                        clustersecretstore/k8s-gateway-secrets                                        store validated
auth            5m13s       Normal    NoPods                       poddisruptionbudget/keycloak                                                  No matching pods found
auth            5m13s       Normal    SuccessfulCreate             statefulset/keycloak                                                          create Pod keycloak-0 in StatefulSet keycloak successful
auth            5m13s       Normal    Scheduled                    pod/keycloak-0                                                                Successfully assigned auth/keycloak-0 to foo
auth            5m13s       Normal    Pulled                       pod/keycloak-0                                                                Container image "docker.io/bitnami/keycloak:26.3.2-debian-12-r0" already present on machine
auth            5m13s       Normal    Created                      pod/keycloak-0                                                                Created container: prepare-write-dirs
auth            5m13s       Normal    Started                      pod/keycloak-0                                                                Started container prepare-write-dirs
auth            95s         Normal    Pulled                       pod/keycloak-0                                                                Container image "docker.io/bitnami/keycloak:26.3.2-debian-12-r0" already present on machine
auth            95s         Normal    Started                      pod/keycloak-0                                                                Started container keycloak
auth            95s         Normal    Created                      pod/keycloak-0                                                                Created container: keycloak
gateway         5m10s       Normal    Created                      pod/kong-kong-674bb84c8-ghrn7                                                 Created container: clear-stale-pid
gateway         5m10s       Normal    Started                      pod/kong-kong-674bb84c8-ghrn7                                                 Started container clear-stale-pid
gateway         5m10s       Normal    ScalingReplicaSet            deployment/kong-kong                                                          Scaled up replica set kong-kong-674bb84c8 from 0 to 1
gateway         5m10s       Normal    SuccessfulCreate             replicaset/kong-kong-674bb84c8                                                Created pod: kong-kong-674bb84c8-ghrn7
gateway         5m10s       Normal    Pulled                       pod/kong-kong-674bb84c8-ghrn7                                                 Container image "kong:3.9" already present on machine
gateway         5m10s       Normal    Scheduled                    pod/kong-kong-674bb84c8-ghrn7                                                 Successfully assigned gateway/kong-kong-674bb84c8-ghrn7 to foo
gateway         5m10s       Normal    IPAllocated                  service/kong-kong-proxy                                                       Assigned IP ["192.168.1.129"]
gateway         5m9s        Normal    Created                      pod/kong-kong-674bb84c8-ghrn7                                                 Created container: ingress-controller
gateway         5m9s        Normal    Pulled                       pod/kong-kong-674bb84c8-ghrn7                                                 Container image "kong/kubernetes-ingress-controller:3.5" already present on machine
gateway         5m9s        Normal    Created                      pod/kong-kong-674bb84c8-ghrn7                                                 Created container: proxy
gateway         5m9s        Normal    Started                      pod/kong-kong-674bb84c8-ghrn7                                                 Started container ingress-controller
gateway         5m9s        Normal    Pulled                       pod/kong-kong-674bb84c8-ghrn7                                                 Container image "kong:3.9" already present on machine
gateway         5m9s        Normal    Started                      pod/kong-kong-674bb84c8-ghrn7                                                 Started container proxy
observability   5m6s        Normal    Scheduled                    pod/kube-prometheus-stack-admission-create-6442s                              Successfully assigned observability/kube-prometheus-stack-admission-create-6442s to foo
observability   5m6s        Normal    SuccessfulCreate             job/kube-prometheus-stack-admission-create                                    Created pod: kube-prometheus-stack-admission-create-6442s
observability   5m5s        Normal    Started                      pod/kube-prometheus-stack-admission-create-6442s                              Started container create
observability   5m5s        Normal    Pulled                       pod/kube-prometheus-stack-admission-create-6442s                              Container image "registry.k8s.io/ingress-nginx/kube-webhook-certgen:v1.6.0" already present on machine
observability   5m5s        Normal    Created                      pod/kube-prometheus-stack-admission-create-6442s                              Created container: create
observability   5m2s        Warning   FailedCreate                 daemonset/kube-prometheus-stack-prometheus-node-exporter                      Error creating: pods "kube-prometheus-stack-prometheus-node-exporter-btpfp" is forbidden: violates PodSecurity "baseline:latest": host namespaces (hostNetwork=true, hostPID=true), hostPath volumes (volumes "proc", "sys", "root"), hostPort (container "node-exporter" uses hostPort 9100)
observability   5m1s        Normal    Scheduled                    pod/kube-prometheus-stack-grafana-555bb9554-cql4x                             Successfully assigned observability/kube-prometheus-stack-grafana-555bb9554-cql4x to foo
observability   5m2s        Warning   FailedCreate                 daemonset/kube-prometheus-stack-prometheus-node-exporter                      Error creating: pods "kube-prometheus-stack-prometheus-node-exporter-sk8tc" is forbidden: violates PodSecurity "baseline:latest": host namespaces (hostNetwork=true, hostPID=true), hostPath volumes (volumes "proc", "sys", "root"), hostPort (container "node-exporter" uses hostPort 9100)
