NAMESPACE                 NAME                                                        READY   STATUS                            RESTARTS      AGE     IP             NODE   NOMINATED NODE   READINESS GATES
apps                      mailhog-55c896699f-22q5f                                    1/1     Running                           0             4m44s   10.1.24.50     foo    <none>           <none>
auth                      keycloak-0                                                  0/1     CrashLoopBackOff                  5 (89s ago)   5m13s   10.1.24.20     foo    <none>           <none>
cert-manager              cert-manager-58dd99f969-ssdgg                               1/1     Running                           0             6m24s   10.1.24.12     foo    <none>           <none>
cert-manager              cert-manager-cainjector-55cd9f77b5-zfgp5                    1/1     Running                           0             6m24s   10.1.24.10     foo    <none>           <none>
cert-manager              cert-manager-webhook-7987476d56-z7ph6                       1/1     Running                           0             6m24s   10.1.24.11     foo    <none>           <none>
container-registry        registry-579865c76c-tkrln                                   1/1     Running                           0             7m2s    10.1.24.9      foo    <none>           <none>
data                      opensearch-cluster-master-0                                 0/1     Init:CreateContainerConfigError   0             4m34s   10.1.24.63     foo    <none>           <none>
data                      opensearch-dashboards-754576b468-52l5k                      1/1     Running                           0             4m33s   10.1.24.61     foo    <none>           <none>
data                      pgadmin4-7858b54bd6-jgnfr                                   1/1     Running                           0             4m39s   10.1.24.62     foo    <none>           <none>
data                      pgbouncer-f9957d895-kznhw                                   1/1     Running                           0             5m31s   10.1.24.18     foo    <none>           <none>
data                      postgresql-0                                                1/1     Running                           0             5m31s   10.1.24.19     foo    <none>           <none>
data                      redis-master-0                                              1/1     Running                           0             4m40s   10.1.24.58     foo    <none>           <none>
data                      redisinsight-0                                              0/1     CreateContainerConfigError        0             4m40s   10.1.24.60     foo    <none>           <none>
external-secrets-system   external-secrets-6566c4cfdd-587v8                           1/1     Running                           0             6m7s    10.1.24.15     foo    <none>           <none>
external-secrets-system   external-secrets-cert-controller-b8bccfdb7-vzz5f            1/1     Running                           0             6m7s    10.1.24.14     foo    <none>           <none>
external-secrets-system   external-secrets-webhook-7c6789867f-zphzc                   1/1     Running                           0             6m7s    10.1.24.16     foo    <none>           <none>
gateway                   kong-kong-674bb84c8-ghrn7                                   2/2     Running                           0             5m10s   10.1.24.21     foo    <none>           <none>
kube-system               calico-kube-controllers-5947598c79-j2xgb                    1/1     Running                           0             7m2s    10.1.24.8      foo    <none>           <none>
kube-system               calico-node-792s9                                           1/1     Running                           0             7m2s    192.168.1.26   foo    <none>           <none>
kube-system               coredns-79b94494c7-b9qpn                                    1/1     Running                           0             7m2s    10.1.24.3      foo    <none>           <none>
kube-system               hostpath-provisioner-c778b7559-ffw2f                        1/1     Running                           0             7m2s    10.1.24.2      foo    <none>           <none>
kube-system               metrics-server-7dbd8b5cc9-hlkq4                             1/1     Running                           0             7m2s    10.1.24.7      foo    <none>           <none>
messaging                 akhq-5d5dd6bbdc-ddcvh                                       0/1     CrashLoopBackOff                  5 (89s ago)   4m39s   10.1.24.56     foo    <none>           <none>
messaging                 nats-0                                                      2/2     Running                           0             4m45s   10.1.24.49     foo    <none>           <none>
messaging                 nats-box-564c9886f8-kpbd5                                   1/1     Running                           0             4m45s   10.1.24.48     foo    <none>           <none>
messaging                 strimzi-cluster-operator-7d4c99b756-vhrlm                   1/1     Running                           0             4m35s   10.1.24.57     foo    <none>           <none>
metallb-system            controller-7ffc454778-cpsgt                                 1/1     Running                           0             7m2s    10.1.24.4      foo    <none>           <none>
metallb-system            speaker-dxj5s                                               1/1     Running                           0             7m2s    192.168.1.26   foo    <none>           <none>
observability             alertmanager-kube-prometheus-stack-alertmanager-0           2/2     Running                           0             5m1s    10.1.24.26     foo    <none>           <none>
observability             kube-prometheus-stack-grafana-555bb9554-cql4x               3/3     Running                           0             5m2s    10.1.24.24     foo    <none>           <none>
observability             kube-prometheus-stack-kube-state-metrics-684f8c7558-57v95   1/1     Running                           0             5m2s    10.1.24.23     foo    <none>           <none>
observability             kube-prometheus-stack-operator-798b86ddb7-6nt9b             1/1     Running                           0             5m2s    10.1.24.25     foo    <none>           <none>
observability             loki-0                                                      2/2     Running                           0             4m55s   10.1.24.47     foo    <none>           <none>
observability             loki-canary-g2rpd                                           1/1     Running                           0             4m55s   10.1.24.28     foo    <none>           <none>
observability             loki-chunks-cache-0                                         2/2     Running                           0             4m55s   10.1.24.29     foo    <none>           <none>
observability             loki-results-cache-0                                        2/2     Running                           0             4m55s   10.1.24.30     foo    <none>           <none>
observability             tempo-0                                                     1/1     Running                           0             4m54s   10.1.24.46     foo    <none>           <none>
temporal                  temporal-admintools-59fc565db7-sf5ll                        1/1     Running                           0             4m50s   10.1.24.36     foo    <none>           <none>
temporal                  temporal-alertmanager-0                                     1/1     Running                           0             4m50s   10.1.24.52     foo    <none>           <none>
temporal                  temporal-cassandra-0                                        1/1     Running                           0             4m50s   10.1.24.38     foo    <none>           <none>
temporal                  temporal-cassandra-1                                        1/1     Running                           0             3m      10.1.24.1      foo    <none>           <none>
temporal                  temporal-cassandra-2                                        0/1     Running                           0             89s     10.1.24.5      foo    <none>           <none>
temporal                  temporal-frontend-7d967966d5-gdqjt                          0/1     Init:1/3                          0             4m50s   10.1.24.41     foo    <none>           <none>
temporal                  temporal-grafana-ccc88ddfb-2vjzq                            1/1     Running                           0             4m50s   10.1.24.33     foo    <none>           <none>
temporal                  temporal-history-fbb6949b7-vptr2                            0/1     Init:1/3                          0             4m50s   10.1.24.42     foo    <none>           <none>
temporal                  temporal-kube-state-metrics-74b9d6775b-7pl5j                1/1     Running                           0             4m50s   10.1.24.34     foo    <none>           <none>
temporal                  temporal-matching-7c94454458-dnfj2                          0/1     Init:1/3                          0             4m49s   10.1.24.43     foo    <none>           <none>
temporal                  temporal-prometheus-pushgateway-6b68966754-m29kh            1/1     Running                           0             4m50s   10.1.24.35     foo    <none>           <none>
temporal                  temporal-prometheus-server-58b95494b4-9bnf4                 2/2     Running                           0             4m50s   10.1.24.51     foo    <none>           <none>
temporal                  temporal-schema-1-fnjph                                     0/1     Init:1/6                          0             4m50s   10.1.24.39     foo    <none>           <none>
temporal                  temporal-web-6ffc47f7df-n5rtw                               1/1     Running                           0             4m49s   10.1.24.45     foo    <none>           <none>
temporal                  temporal-worker-545c9b46d5-v5mcf                            0/1     Init:1/3                          0             4m49s   10.1.24.44     foo    <none>           <none>
