NAMESPACE                 LAST SEEN   TYPE      REASON                       OBJECT                                                                        MESSAGE
kube-system               3m24s       Normal    Scheduled                    pod/hostpath-provisioner-foo-jk82w                                            Successfully assigned kube-system/hostpath-provisioner-foo-jk82w to foo
kube-system               76s         Normal    Scheduled                    pod/hostpath-provisioner-foo-7d4fl                                            Successfully assigned kube-system/hostpath-provisioner-foo-7d4fl to foo
temporal                  86s         Normal    Scheduled                    pod/temporal-prometheus-pushgateway-6b68966754-m29kh                          Successfully assigned temporal/temporal-prometheus-pushgateway-6b68966754-m29kh to foo
temporal                  86s         Normal    Scheduled                    pod/temporal-matching-7c94454458-dnfj2                                        Successfully assigned temporal/temporal-matching-7c94454458-dnfj2 to foo
temporal                  86s         Normal    Scheduled                    pod/temporal-kube-state-metrics-74b9d6775b-7pl5j                              Successfully assigned temporal/temporal-kube-state-metrics-74b9d6775b-7pl5j to foo
temporal                  86s         Normal    Scheduled                    pod/temporal-history-fbb6949b7-vptr2                                          Successfully assigned temporal/temporal-history-fbb6949b7-vptr2 to foo
temporal                  86s         Normal    Scheduled                    pod/temporal-grafana-ccc88ddfb-2vjzq                                          Successfully assigned temporal/temporal-grafana-ccc88ddfb-2vjzq to foo
temporal                  86s         Normal    Scheduled                    pod/temporal-schema-1-fnjph                                                   Successfully assigned temporal/temporal-schema-1-fnjph to foo
auth                      109s        Normal    Scheduled                    pod/keycloak-0                                                                Successfully assigned auth/keycloak-0 to foo
messaging                 81s         Normal    Scheduled                    pod/nats-0                                                                    Successfully assigned messaging/nats-0 to foo
messaging                 81s         Normal    Scheduled                    pod/nats-box-564c9886f8-kpbd5                                                 Successfully assigned messaging/nats-box-564c9886f8-kpbd5 to foo
messaging                 72s         Normal    Scheduled                    pod/strimzi-cluster-operator-7d4c99b756-vhrlm                                 Successfully assigned messaging/strimzi-cluster-operator-7d4c99b756-vhrlm to foo
temporal                  86s         Normal    Scheduled                    pod/temporal-frontend-7d967966d5-gdqjt                                        Successfully assigned temporal/temporal-frontend-7d967966d5-gdqjt to foo
temporal                  86s         Normal    Scheduled                    pod/temporal-cassandra-0                                                      Successfully assigned temporal/temporal-cassandra-0 to foo
temporal                  80s         Normal    Scheduled                    pod/temporal-alertmanager-0                                                   Successfully assigned temporal/temporal-alertmanager-0 to foo
temporal                  86s         Normal    Scheduled                    pod/temporal-admintools-59fc565db7-sf5ll                                      Successfully assigned temporal/temporal-admintools-59fc565db7-sf5ll to foo
metallb-system            3m38s       Normal    Scheduled                    pod/controller-7ffc454778-cpsgt                                               Successfully assigned metallb-system/controller-7ffc454778-cpsgt to foo
